strategy,symbol,hour,n,wins,total,avg,hit
narrow_range_break,CL,1,17,7,636.4480747767917,37.43812204569363,41.17647058823529
bollinger_squeeze_break,ZB,2,18,8,630.0910714285835,35.005059523810196,44.44444444444444
donchian_breakout,ZF,18,5,2,628.3312500000029,125.66625000000059,40.0
liquidity_sweep,NG,10,60,23,621.1697964532293,10.352829940887155,38.333333333333336
opening_range_breakout,NQ,23,10,4,610.2571428571739,61.02571428571739,40.0
order_block,ZN,1,16,8,604.2424107143061,37.76515066964413,50.0
support_resistance_bounce,ZB,2,30,6,602.5446428572951,20.084821428576504,20.0
liquidity_sweep,ES,21,37,15,599.960714285688,16.215154440153732,40.54054054054054
donchian_breakout,ZN,4,5,2,598.8750000000085,119.77500000000171,40.0
vol_spike_fade,NG,20,35,19,595.1044802257196,17.002985149306273,54.285714285714285
vol_spike_fade,6E,10,9,6,582.4584674494091,64.7176074943788,66.66666666666666
support_resistance_bounce,ZN,19,24,3,579.1339285713169,24.130580357138204,12.5
vol_spike_fade,ZB,1,15,9,576.3928571428187,38.42619047618791,60.0
pivot_reversal,ZN,7,18,8,576.0749999999574,32.004166666664304,44.44444444444444
opening_range_breakout,CL,3,7,3,574.9733686174704,82.13905265963864,42.857142857142854
liquidity_sweep,NQ,6,7,4,573.0964285713038,81.87091836732911,57.14285714285714
keltner_breakout,ZN,12,7,4,571.8093749999772,81.68705357142531,57.14285714285714
liquidity_sweep,NG,12,58,23,570.2288402148813,9.831531727842782,39.6551724137931
support_resistance_bounce,CL,23,8,2,569.8278660365717,71.22848325457146,25.0
rsi2_extreme_reversion,ZB,7,5,1,569.75,113.95,20.0
opening_range_breakout,ES,7,11,4,568.2928571428896,51.662987012989966,36.36363636363637
gap_fill,ZF,6,7,5,567.212053571459,81.03029336735129,71.42857142857143
order_block,NG,8,21,9,563.705834443231,26.84313497348719,42.857142857142854
liquidity_sweep,CL,20,8,4,562.1247661045558,70.26559576306947,50.0
liquidity_sweep,ES,1,47,18,559.7642857142207,11.909878419451504,38.297872340425535
liquidity_sweep,CL,0,26,10,558.8176443917572,21.492986322759894,38.46153846153847
pivot_reversal,ZT,15,14,7,558.5924107143913,39.89945790817081,50.0
rsi2_extreme_reversion,CL,16,6,1,556.7832153320313,92.79720255533856,16.666666666666664
order_block,ZF,1,43,22,551.8754464286262,12.83431270764247,51.162790697674424
order_block,6E,10,15,7,550.4033883093678,36.693559220624515,46.666666666666664
